BioGRID ID,Experimental System Type,Author,Publication Source,Qualifications,Organism
154507,genetic,Balciunas D (1999),PUBMED:10628841,Gis1 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis1 can rescue growth in an snf1/mig1/gis4 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
154508,genetic,Balciunas D (1999),PUBMED:10628841,Gis1 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis1 can rescue growth in an snf1/mig1/gis4 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
154509,genetic,Balciunas D (1999),PUBMED:10628841,Gis2 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis2 can rescue growth in an snf1/mig1/gis4 triple mutant|Overexpression of Gis2 can rescue growth in an snf1/mig1/pde2 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
154510,genetic,Balciunas D (1999),PUBMED:10628841,Gis2 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis2 can rescue growth in an snf1/mig1/gis4 triple mutant|Overexpression of Gis2 can rescue growth in an snf1/mig1/pde2 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
154511,genetic,Balciunas D (1999),PUBMED:10628841,Gis3 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis3 can rescue growth in an snf1/mig1/gis4 triple mutant|Overexpression of Gis3 can rescue growth in an snf1/mig1/pde2 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
154512,genetic,Balciunas D (1999),PUBMED:10628841,Gis4 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis4 can partially rescue growth in an snf1/mig1/pde2 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
154954,genetic,Balciunas D (1999),PUBMED:10628841,Overexpression of PDE2 can rescue growth in an snf1/mig1/gis4 triple mutant|Pde2 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|genetic complex,Saccharomyces cerevisiae (S288c)
154955,genetic,Balciunas D (1999),PUBMED:10628841,Overexpression of PDE2 can rescue growth in an snf1/mig1/gis4 triple mutant|Pde2 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|genetic complex,Saccharomyces cerevisiae (S288c)
155210,genetic,Wijnen H (1999),PUBMED:10545447,genetic complex|overespression of RME1 can rescue lethality in a cln3/bck2/swi6 triple mutant|overexpression of RME1 rescues the lethality caused by G1 arrest in a bck2/cln3 double mutant,Saccharomyces cerevisiae (S288c)
155211,genetic,Wijnen H (1999),PUBMED:10545447,genetic complex|overespression of RME1 can rescue lethality in a cln3/bck2/swi6 triple mutant|overexpression of RME1 rescues the lethality caused by G1 arrest in a bck2/cln3 double mutant,Saccharomyces cerevisiae (S288c)
155212,genetic,Wijnen H (1999),PUBMED:10545447,genetic complex|overespression of RME1 can rescue lethality in a cln3/bck2/swi6 triple mutant|overexpression of RME1 rescues the temperature sensitivity of a swi4/swi6 mutant,Saccharomyces cerevisiae (S288c)
155393,genetic,Balciunas D (1999),PUBMED:10628841,Overexpression of SGE1 can partially rescue growth in an snf1/mig1/gis4 triple mutant|Sge1 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|genetic complex,Saccharomyces cerevisiae (S288c)
155394,genetic,Balciunas D (1999),PUBMED:10628841,Overexpression of SGE1 can partially rescue growth in an snf1/mig1/gis4 triple mutant|Sge1 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|genetic complex,Saccharomyces cerevisiae (S288c)
155824,genetic,Balciunas D (1999),PUBMED:10628841,Overexpression of Tub3 can partially rescue growth in an snf1/mig1/gis4 triple mutant|Tub3 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|genetic complex,Saccharomyces cerevisiae (S288c)
155825,genetic,Balciunas D (1999),PUBMED:10628841,Overexpression of Tub3 can partially rescue growth in an snf1/mig1/gis4 triple mutant|Tub3 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|genetic complex,Saccharomyces cerevisiae (S288c)
155972,genetic,Balciunas D (1999),PUBMED:10628841,Gis3 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis3 can rescue growth in an snf1/mig1/gis4 triple mutant|Overexpression of Gis3 can rescue growth in an snf1/mig1/pde2 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
155986,genetic,Balciunas D (1999),PUBMED:10628841,Gis4 rescues the growth of an Snf1/Mig1/Srb11 triple mutant on galactose|Overexpression of Gis4 can partially rescue growth in an snf1/mig1/pde2 triple mutant|genetic complex,Saccharomyces cerevisiae (S288c)
157370,genetic,Dubacq C (2004),PUBMED:14993292,genetic complex|sip1/sip2/gal83 triple mutants show increased sensitivity to HU (CID 3657 CHEBI 44423),Saccharomyces cerevisiae (S288c)
157371,genetic,Dubacq C (2004),PUBMED:14993292,genetic complex|sip1/sip2/gal83 triple mutants show increased sensitivity to HU (CID 3657 CHEBI 44423),Saccharomyces cerevisiae (S288c)
157374,genetic,Dubacq C (2004),PUBMED:14993292,genetic complex|sip1/sip2/gal83 triple mutants show increased sensitivity to HU (CID 3657 CHEBI 44423),Saccharomyces cerevisiae (S288c)
157890,genetic,Parent SA (1993),PUBMED:7510323,Fks1/Cna1/Cna2 triple mutants show a synthetic growth defect,Saccharomyces cerevisiae (S288c)
157891,genetic,Parent SA (1993),PUBMED:7510323,Fks1/Cna1/Cna2 triple mutants show a synthetic growth defect,Saccharomyces cerevisiae (S288c)
158300,genetic,Gray JV (1997),PUBMED:9305635,cln1/cln2/mpk1 triple mutants are lethal|genetic complex,Saccharomyces cerevisiae (S288c)
158301,genetic,Gray JV (1997),PUBMED:9305635,cln1/cln2/mpk1 triple mutants are lethal|genetic complex,Saccharomyces cerevisiae (S288c)
158312,genetic,Kaeberlein M (2002),PUBMED:11805047,genetic complex|mpt5/ccr4/ssd1 triple mutants are lethal,Saccharomyces cerevisiae (S288c)
158456,genetic,Rottensteiner H (2003),PUBMED:14517338,genetic complex|pex11 pex25 pex27 triple mutant|pex11 pex25 pex27 triple mutant is synthetic lethal in the presence of oleic acid,Saccharomyces cerevisiae (S288c)
158457,genetic,Rottensteiner H (2003),PUBMED:14517338,genetic complex|pex11 pex25 pex27 triple mutant|pex11 pex25 pex27 triple mutant is synthetic lethal in the presence of oleic acid,Saccharomyces cerevisiae (S288c)
158458,genetic,Rottensteiner H (2003),PUBMED:14517338,genetic complex|pex11 pex25 pex27 triple mutant|pex11 pex25 pex27 triple mutant is synthetic lethal in the presence of oleic acid,Saccharomyces cerevisiae (S288c)
158963,genetic,Posas F (1998),PUBMED:9742096,SSK2/SSK22/STE50 triple mutants are unable to grow on medium containing sorbitol|genetic complex,Saccharomyces cerevisiae (S288c)
158964,genetic,Posas F (1998),PUBMED:9742096,SSK2/SSK22/STE50 triple mutants are unable to grow on medium containing sorbitol|genetic complex,Saccharomyces cerevisiae (S288c)
159071,genetic,Schueller C (2004),PUBMED:14617816,WAR1/MSN2/MSN4 triple mutants are synthetic lethal|genetic complex|in msn4 background,Saccharomyces cerevisiae (S288c)
159072,genetic,Schueller C (2004),PUBMED:14617816,WAR1/MSN2/MSN4 triple mutants are synthetic lethal|genetic complex|in msn2 background,Saccharomyces cerevisiae (S288c)
