Gene Systematic Name,Gene Official Symbol,Gene Synonyms,Organism
YGL035C,MIG1,CAT4|SSN1|TDS22|transcription factor MIG1|L000001110,Saccharomyces cerevisiae (S288c)
YDR477W,SNF1,CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944,Saccharomyces cerevisiae (S288c)
YER167W,BCK2,CTR7|L000000163,Saccharomyces cerevisiae (S288c)
YAL040C,CLN3,DAF1|FUN10|WHI1|cyclin CLN3|L000000359,Saccharomyces cerevisiae (S288c)
YLR182W,SWI6,PSL8|SDS11|transcriptional regulator SWI6|L000002254,Saccharomyces cerevisiae (S288c)
YDR422C,SIP1,L000001890,Saccharomyces cerevisiae (S288c)
YGL208W,SIP2,SPM2|L000001891|L000001998,Saccharomyces cerevisiae (S288c)
YLR433C,CNA1,CMP1|calcineurin catalytic subunit A|L000000370,Saccharomyces cerevisiae (S288c)
YML057W,CMP2,CNA2|calcineurin catalytic subunit A|L000000368,Saccharomyces cerevisiae (S288c)
YHR030C,SLT2,BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919,Saccharomyces cerevisiae (S288c)
YGL178W,MPT5,HTR1|PUF5|UTH4|L000001146,Saccharomyces cerevisiae (S288c)
YOL147C,PEX11,PMP24|PMP27|L000002650|L000004117,Saccharomyces cerevisiae (S288c)
YPL112C,PEX25,-,Saccharomyces cerevisiae (S288c)
YOR193W,PEX27,-,Saccharomyces cerevisiae (S288c)
YCL032W,STE50,L000002125,Saccharomyces cerevisiae (S288c)
YML076C,WAR1,-,Saccharomyces cerevisiae (S288c)
YDL134C,PPH21,phosphoprotein phosphatase 2A catalytic subunit PPH21|L000001472,Saccharomyces cerevisiae (S288c)
YJL164C,TPK1,PKA1|SRA3|cAMP-dependent protein kinase catalytic subunit TPK1|L000002045,Saccharomyces cerevisiae (S288c)
YPL203W,TPK2,PKA2|PKA3|YKR1|cAMP-dependent protein kinase catalytic subunit TPK2|L000001445,Saccharomyces cerevisiae (S288c)
YKL166C,TPK3,cAMP-dependent protein kinase catalytic subunit TPK3|L000002327,Saccharomyces cerevisiae (S288c)
YMR052W,FAR3,L000002919,Saccharomyces cerevisiae (S288c)
YMR199W,CLN1,cyclin CLN1|L000000357,Saccharomyces cerevisiae (S288c)
YHR014W,SPO13,L000002004,Saccharomyces cerevisiae (S288c)
YMR284W,YKU70,HDF1|NES24|KU70|L000000759,Saccharomyces cerevisiae (S288c)
YDR351W,SBE2,L000002745,Saccharomyces cerevisiae (S288c)
YGL058W,RAD6,PSO8|UBC2|E2 ubiquitin-conjugating protein RAD6|L000001560,Saccharomyces cerevisiae (S288c)
YGR258C,RAD2,ssDNA endodeoxyribonuclease RAD2|L000001556,Saccharomyces cerevisiae (S288c)
YPL167C,REV3,PSO1|L000001616,Saccharomyces cerevisiae (S288c)
YFL031W,HAC1,ERN4|IRE15|transcription factor HAC1|L000002611,Saccharomyces cerevisiae (S288c)
YPL031C,PHO85,LDB15|cyclin-dependent serine/threonine-protein kinase PHO85|phoU|L000001431,Saccharomyces cerevisiae (S288c)
YLR044C,PDC1,indolepyruvate decarboxylase 1|L000001354,Saccharomyces cerevisiae (S288c)
YLR134W,PDC5,indolepyruvate decarboxylase 5|L000001356,Saccharomyces cerevisiae (S288c)
YKL164C,PIR1,CCW6|L000001441,Saccharomyces cerevisiae (S288c)
YFR021W,ATG18,AUT10|CVT18|NMR1|SVP1|phosphoinositide binding protein ATG18,Saccharomyces cerevisiae (S288c)
YGR223C,HSV2,-,Saccharomyces cerevisiae (S288c)
YJR148W,BAT2,ECA40|TWT2|branched-chain-amino-acid transaminase BAT2|L000003082,Saccharomyces cerevisiae (S288c)
YHR208W,BAT1,ECA39|TWT1|branched-chain-amino-acid transaminase BAT1|L000002396,Saccharomyces cerevisiae (S288c)
YNR011C,PRP2,RNA2|DEAH-box RNA-dependent ATPase PRP2|L000001495,Saccharomyces cerevisiae (S288c)
YOR048C,RAT1,HKE1|TAP1|XRN2|ssRNA exonuclease RAT1|L000001584,Saccharomyces cerevisiae (S288c)
YML022W,APT1,adenine phosphoribosyltransferase APT1|L000002641,Saccharomyces cerevisiae (S288c)
YMR300C,ADE4,amidophosphoribosyltransferase|L000000034,Saccharomyces cerevisiae (S288c)
YGL186C,TPN1,-,Saccharomyces cerevisiae (S288c)
YMR096W,SNZ1,pyridoxine biosynthesis protein SNZ1|L000002575,Saccharomyces cerevisiae (S288c)
YNL333W,SNZ2,pyridoxine biosynthesis protein SNZ2|L000002576,Saccharomyces cerevisiae (S288c)
YFL059W,SNZ3,pyridoxine biosynthesis protein SNZ3|L000002577,Saccharomyces cerevisiae (S288c)
YMR095C,SNO1,L000003451,Saccharomyces cerevisiae (S288c)
YNL334C,SNO2,L000003452,Saccharomyces cerevisiae (S288c)
YFL060C,SNO3,L000003453,Saccharomyces cerevisiae (S288c)
YNL231C,PDR16,SFH3|L000004779,Saccharomyces cerevisiae (S288c)
YML124C,TUB3,alpha-tubulin TUB3|L000002389,Saccharomyces cerevisiae (S288c)
YJR090C,GRR1,CAT80|COT2|SDC1|SSU2|SCF ubiquitin ligase complex subunit GRR1|L000000730,Saccharomyces cerevisiae (S288c)
YGR078C,PAC10,GIM2|PFD3|RKS2|L000002864,Saccharomyces cerevisiae (S288c)
YOR033C,EXO1,DHS1|Rad2 family nuclease EXO1|L000000505|L000003929,Saccharomyces cerevisiae (S288c)
YNL298W,CLA4,ERC10|serine/threonine protein kinase CLA4|L000000564|L000002643,Saccharomyces cerevisiae (S288c)
YJR110W,YMR1,phosphatidylinositol-3-phosphatase YMR1,Saccharomyces cerevisiae (S288c)
YAR019C,CDC15,LYT1|serine/threonine protein kinase CDC15|L000000255,Saccharomyces cerevisiae (S288c)
YOR153W,PDR5,LEM1|STS1|YDR1|ATP-binding cassette multidrug transporter PDR5|L000001365|L000002136|L000002504,Saccharomyces cerevisiae (S288c)
YBR136W,MEC1,ESR1|RAD31|SAD3|protein kinase MEC1|L000000586|S000029404|S000007656,Saccharomyces cerevisiae (S288c)
YER111C,SWI4,ART1|SBF complex DNA-binding subunit SWI4|L000000124|L000002252,Saccharomyces cerevisiae (S288c)
YMR202W,ERG2,END11|C-8 sterol isomerase ERG2|L000000569|L000004560,Saccharomyces cerevisiae (S288c)
YFR053C,HXK1,hexokinase 1|L000000833,Saccharomyces cerevisiae (S288c)
YGR172C,YIP1,L000003259,Saccharomyces cerevisiae (S288c)
YCL069W,VBA3,-,Saccharomyces cerevisiae (S288c)
YAL030W,SNC1,SNAP receptor SNC1|L000001942,Saccharomyces cerevisiae (S288c)
YEL019C,MMS21,NSE2|PSO10|SUMO ligase MMS21|L000001125,Saccharomyces cerevisiae (S288c)
YLR007W,NSE1,-,Saccharomyces cerevisiae (S288c)
YDR097C,MSH6,PMS3|PMS6|mismatch repair ATPase MSH6|L000003135|L000004503|S000029377,Saccharomyces cerevisiae (S288c)
YMR296C,LCB1,END8|TSC2|serine C-palmitoyltransferase LCB1|L000000934,Saccharomyces cerevisiae (S288c)
YPL240C,HSP82,HSP90|Hsp90 family chaperone HSP82|L000000822,Saccharomyces cerevisiae (S288c)
YPL082C,MOT1,BUR3|END10|LPF4|BTAF1|L000001136|L000004559|S000029158,Saccharomyces cerevisiae (S288c)
YAL021C,CCR4,FUN27|NUT21|CCR4-NOT core exoribonuclease subunit CCR4|L000000239,Saccharomyces cerevisiae (S288c)
YPR072W,NOT5,CCR4-NOT core subunit NOT5|L000004651,Saccharomyces cerevisiae (S288c)
YER068W,MOT2,NOT4|SIG1|CCR4-NOT core ubiquitin-protein ligase subunit MOT2|L000001887|L000001137,Saccharomyces cerevisiae (S288c)
YMR048W,CSM3,-,Saccharomyces cerevisiae (S288c)
YCL061C,MRC1,YCL060C|chromatin-modulating protein MRC1,Saccharomyces cerevisiae (S288c)
YDR217C,RAD9,chromatin-binding protein RAD9|L000001562,Saccharomyces cerevisiae (S288c)
YJL094C,KHA1,-,Saccharomyces cerevisiae (S288c)
YDR456W,NHX1,NHA2|VPL27|VPS44|bifunctional K:H/Na:H antiporter NHX1|L000004336,Saccharomyces cerevisiae (S288c)
YKL140W,TGL1,YKL5|L000002293,Saccharomyces cerevisiae (S288c)
YML008C,ERG6,ISE1|LIS1|SED6|VID1|sterol 24-C-methyltransferase|L000000572|S000029637|L000003110,Saccharomyces cerevisiae (S288c)
YER044C,ERG28,BUD18,Saccharomyces cerevisiae (S288c)
YLR256W,HAP1,CYP1|L000002665,Saccharomyces cerevisiae (S288c)
YBR252W,DUT1,bifunctional dITP/dUTP diphosphatase|L000000537,Saccharomyces cerevisiae (S288c)
YJR143C,PMT4,L000002623,Saccharomyces cerevisiae (S288c)
YOR321W,PMT3,dolichyl-phosphate-mannose-protein mannosyltransferase PMT3|L000002622,Saccharomyces cerevisiae (S288c)
YJL158C,CIS3,CCW11|CCW5|PIR4|SCW8|S000029072|L000003951|L000004553|S000029439|L000004569,Saccharomyces cerevisiae (S288c)
YBR160W,CDC28,CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267,Saccharomyces cerevisiae (S288c)
YBR082C,UBC4,E2 ubiquitin-conjugating protein UBC4|L000002407,Saccharomyces cerevisiae (S288c)
YBR088C,POL30,proliferating cell nuclear antigen|PCNA|L000001463,Saccharomyces cerevisiae (S288c)
YNL323W,LEM3,BRE3|ROS3,Saccharomyces cerevisiae (S288c)
YBR036C,CSG2,CLS2|mannosylinositol phosphorylceramide synthase regulatory subunit|L000002979|L000000427,Saccharomyces cerevisiae (S288c)
YMR201C,RAD14,L000001564,Saccharomyces cerevisiae (S288c)
YPL022W,RAD1,LPB9|ssDNA endodeoxyribonuclease RAD1|L000001555,Saccharomyces cerevisiae (S288c)
YDL220C,CDC13,EST4|telomere-binding protein CDC13|L000000253,Saccharomyces cerevisiae (S288c)
YCR094W,CDC50,aminophospholipid translocase regulatory protein CDC50|L000004326,Saccharomyces cerevisiae (S288c)
YOR080W,DIA2,YOR29-31|DNA-binding SCF ubiquitin ligase subunit DIA2,Saccharomyces cerevisiae (S288c)
YML006C,GIS4,L000004864,Saccharomyces cerevisiae (S288c)
YNL103W,MET4,L000001079,Saccharomyces cerevisiae (S288c)
YMR224C,MRE11,NGS1|RAD58|XRS4|MRX complex nuclease subunit|L000004732|L000001149|L000004275,Saccharomyces cerevisiae (S288c)
YHR164C,DNA2,WEB2|bifuctional ATP-dependent DNA helicase/ssDNA endodeoxyribonuclease DNA2|L000003158,Saccharomyces cerevisiae (S288c)
YEL037C,RAD23,L000001568,Saccharomyces cerevisiae (S288c)
YJL133W,MRS3,L000001179,Saccharomyces cerevisiae (S288c)
YKR052C,MRS4,L000001180,Saccharomyces cerevisiae (S288c)
YGR166W,TRS65,KRE11|L000000918,Saccharomyces cerevisiae (S288c)
YFR041C,ERJ5,-,Saccharomyces cerevisiae (S288c)
YLR342W,FKS1,"CND1|CWH53|ETG1|GSC1|PBR1|1,3-beta-D-glucan synthase|L000000445|L000000732",Saccharomyces cerevisiae (S288c)
YML095C,RAD10,L000001563,Saccharomyces cerevisiae (S288c)
YOR244W,ESA1,TAS1|NuA4 histone acetyltransferase complex catalytic subunit ESA1|KAT5|L000003952,Saccharomyces cerevisiae (S288c)
YHR090C,YNG2,EAF4|NBN1|histone acetyltransferase YNG2|L000004452,Saccharomyces cerevisiae (S288c)
YPL242C,IQG1,CYK1|L000004180,Saccharomyces cerevisiae (S288c)
YAL016W,TPD3,FUN32|protein phosphatase 2A structural subunit TPD3|L000002325,Saccharomyces cerevisiae (S288c)
YDL013W,SLX5,HEX3|ULS2|SUMO-targeted ubiquitin ligase complex subunit SLX5|L000000768,Saccharomyces cerevisiae (S288c)
YER116C,SLX8,SUMO-targeted ubiquitin ligase complex subunit SLX8,Saccharomyces cerevisiae (S288c)
YML032C,RAD52,recombinase RAD52|L000001572,Saccharomyces cerevisiae (S288c)
YGR109C,CLB6,B-type cyclin CLB6|L000000354,Saccharomyces cerevisiae (S288c)
SPAC24H6.05,cdc25,sal2,Schizosaccharomyces pombe (972h)
SPAC2G11.12,rqh1,hus2|rad12|rec9,Schizosaccharomyces pombe (972h)
SPAPB2B4.03,cig2,cyc17,Schizosaccharomyces pombe (972h)
SPBC19F5.01c,puc1,SPBP8B7.32c,Schizosaccharomyces pombe (972h)
